HeroID,Rank,Class,Name,Gender,Abilities
60,B-50,B-Class,Jet Nice Guy,Male,
61,B-60,B-Class,Needle Star,Male,
62,B-65,B-Class,Piko,Male,
63,B-69,B-Class,Crying Man,Male,
64,B-70,B-Class,Trap Tengu,Male,
65,B-71,B-Class,Captain Mizuki,Female,
66,B-74,B-Class,Lily of the Three Section Staff,Female,
67,B-77,B-Class,Bone,Male,
68,B-81,B-Class,Tanktop Black Hole,Male,
69,B-93,B-Class,Mushroom,Female,
70,B-99,B-Class,Shooter,Female,
71,???,B-Class,Darkness Blade,Male,
72,???,B-Class,Pineapple ,Male,
73,???,B-Class,Reclusamurai,Male,
74,C-1,C-Class,Mumen Rider,Male,
75,C-3,C-Class,Strange Binding Shell,Male,
76,C-13,C-Class,Tanktop Tiger,Male,
77,C-22,C-Class,D-Pad,Male,
78,C-40,C-Class,Funeral Suspenders,Male,
79,C-66,C-Class,Food Battler Futoshi,Male,
80,C-85,C-Class,Battery Man,Male,
81,C-89,C-Class,Red Muffler,Male,
82,C-111,C-Class,Armored Chief Clerk,Male,
83,C-133,C-Class,Gearspear,Male,
84,C-141,C-Class,Skunk Boy Gasmask,Male,
85,C-174,C-Class,Grave Eight,Male,
86,C-179,C-Class,Ecolo G,Male,
87,C-203,C-Class,Monocross,Male,
88,C-221,C-Class,Dynamite Man,Male,
89,C-255,C-Class,Angry Man,Male,
90,C-283,C-Class,Horse-Bone,Male,
91,C-295,C-Class,Studless,Male,
92,C-300,C-Class,Poison,Male,
93,C-331,C-Class,Bunbun Man,Male,
94,C-347,C-Class,Hyottoko,Male,
95,C-359,C-Class,Saturn Man,Male,
96,C-385,C-Class,Red Nose,Male,
97,???,C-Class,Ironet,Male,
98,???,C-Class,Lecture Man,Male,
99,???,C-Class,Meat Pounder,Male,
100,???,C-Class,Mohican,Male,
101,???,C-Class,Rabbit,Male,
102,???,C-Class,Shoulderpads,Male,
103,???,C-Class,Swim,Female,
104,???,C-Class,Water Gun,Male,
105,???,Unknown,Custom Hero,Male,
106,???,Unknown,Gunma,Male,
107,???,Unknown,Pandaman,Male,
108,???,Unknown,Tanktop Al Dente,Male,
109,???,Unknown,Tanktop Doctor ,Male,
110,???,Unknown,Tanktop Girl,Female,
111,???,Unknown,Tanktop Hatter,Male,
112,???,Unknown,Tanktop Jungle,Male,
113,???,Unknown,Tanktop Mask,Male,
114,???,Unknown,Tanktop Racer,Male,
115,???,Unknown,Tanktop Rockabilly,Male,
116,???,Unknown,Tanktop Swimmer,Male,
117,???,Retired,All Back-Man,Male,
118,???,Retired,Grad School Graduate,Male,
119,???,Staff,Agoni,Male,
120,???,Staff,Busho,Male,
121,???,Staff,Jinzuren,Male,
122,???,Staff,C Branch Operator,Female,
123,???,Staff,C Branch Worker ,Male,
124,???,Staff,Console Operator,Female,
125,???,Staff,Exma ,Female,
126,???,Staff,Guiches,Male,
127,???,Staff,Main Branch Operator,Female,
128,???,Staff,McCoy,Male,
129,???,Staff,Narinki,Male,
130,???,Staff,Sekingar,Male,
131,???,Staff,Shelter Nr.7 Girl,Female,
132,???,Staff,Sitch,Male,
133,???,Staff,Some Important Guy,Male,
134,???,Staff,Special Committee Girl,Female,
135,???,Staff,Shizuka,Female,
136,???,Staff,Zeimeet,Male,
137,???,Staff,Z Branch Committee Girl,Female,
138,???,Staff,Z Branch Operator,Female,
